Start (s),End (s),Scientific name,Common name,Confidence,File
3696.0,3699.0,Anastomus oscitans,Asian Openbill,0.3917,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3732.0,3735.0,Bubulcus ibis,Cattle Egret,0.5087,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3795.0,3798.0,Bubulcus ibis,Cattle Egret,0.2701,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3831.0,3834.0,Bubulcus ibis,Cattle Egret,0.5502,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3843.0,3846.0,Bubulcus ibis,Cattle Egret,0.5841,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3843.0,3846.0,Threskiornis melanocephalus,Black-headed Ibis,0.2735,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3852.0,3855.0,Threskiornis melanocephalus,Black-headed Ibis,0.2731,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3873.0,3876.0,Bubulcus ibis,Cattle Egret,0.5689,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3873.0,3876.0,Threskiornis melanocephalus,Black-headed Ibis,0.2693,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3891.0,3894.0,Ardea purpurea,Purple Heron,0.3291,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3921.0,3924.0,Threskiornis melanocephalus,Black-headed Ibis,0.2574,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3933.0,3936.0,Threskiornis melanocephalus,Black-headed Ibis,0.4061,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
3978.0,3981.0,Acrocephalus stentoreus,Clamorous Reed Warbler,0.5004,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4035.0,4038.0,Threskiornis melanocephalus,Black-headed Ibis,0.3882,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4041.0,4044.0,Threskiornis melanocephalus,Black-headed Ibis,0.4282,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4095.0,4098.0,Threskiornis melanocephalus,Black-headed Ibis,0.5033,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4179.0,4182.0,Threskiornis melanocephalus,Black-headed Ibis,0.4303,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4215.0,4218.0,Artamus fuscus,Ashy Woodswallow,0.2721,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4392.0,4395.0,Streptopelia chinensis,Spotted Dove,0.3630,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4455.0,4458.0,Threskiornis melanocephalus,Black-headed Ibis,0.3148,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4473.0,4476.0,Copsychus saularis,Oriental Magpie-Robin,0.3307,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4494.0,4497.0,Metopidius indicus,Bronze-winged Jacana,0.2864,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4515.0,4518.0,Threskiornis melanocephalus,Black-headed Ibis,0.2773,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4545.0,4548.0,Threskiornis melanocephalus,Black-headed Ibis,0.3225,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4584.0,4587.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.3857,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4596.0,4599.0,Pelargopsis capensis,Stork-billed Kingfisher,0.3531,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4659.0,4662.0,Threskiornis melanocephalus,Black-headed Ibis,0.2738,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4815.0,4818.0,Pelargopsis capensis,Stork-billed Kingfisher,0.3129,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4830.0,4833.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.3997,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4905.0,4908.0,Spilornis cheela,Crested Serpent-Eagle,0.3159,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4947.0,4950.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.2856,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
4950.0,4953.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.8043,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5016.0,5019.0,Bubulcus ibis,Cattle Egret,0.3269,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5025.0,5028.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.2634,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5040.0,5043.0,Threskiornis melanocephalus,Black-headed Ibis,0.2560,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5043.0,5046.0,Bubulcus ibis,Cattle Egret,0.5913,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5073.0,5076.0,Threskiornis melanocephalus,Black-headed Ibis,0.8349,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5088.0,5091.0,Pelargopsis capensis,Stork-billed Kingfisher,0.2741,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5097.0,5100.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.2940,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5103.0,5106.0,Threskiornis melanocephalus,Black-headed Ibis,0.3136,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5136.0,5139.0,Threskiornis melanocephalus,Black-headed Ibis,0.5011,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5157.0,5160.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.6469,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5178.0,5181.0,Threskiornis melanocephalus,Black-headed Ibis,0.3950,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5217.0,5220.0,Threskiornis melanocephalus,Black-headed Ibis,0.5484,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5229.0,5232.0,Bubulcus ibis,Cattle Egret,0.2943,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5232.0,5235.0,Threskiornis melanocephalus,Black-headed Ibis,0.2860,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5235.0,5238.0,Ardea purpurea,Purple Heron,0.6579,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5247.0,5250.0,Threskiornis melanocephalus,Black-headed Ibis,0.3802,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5268.0,5271.0,Pelargopsis capensis,Stork-billed Kingfisher,0.6899,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5304.0,5307.0,Threskiornis melanocephalus,Black-headed Ibis,0.3350,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5343.0,5346.0,Threskiornis melanocephalus,Black-headed Ibis,0.5642,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5346.0,5349.0,Threskiornis melanocephalus,Black-headed Ibis,0.7839,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5349.0,5352.0,Threskiornis melanocephalus,Black-headed Ibis,0.4896,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5361.0,5364.0,Threskiornis melanocephalus,Black-headed Ibis,0.2581,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5367.0,5370.0,Threskiornis melanocephalus,Black-headed Ibis,0.4194,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5370.0,5373.0,Threskiornis melanocephalus,Black-headed Ibis,0.7961,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5373.0,5376.0,Threskiornis melanocephalus,Black-headed Ibis,0.2510,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5382.0,5385.0,Threskiornis melanocephalus,Black-headed Ibis,0.2841,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5403.0,5406.0,Threskiornis melanocephalus,Black-headed Ibis,0.2638,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5460.0,5463.0,Threskiornis melanocephalus,Black-headed Ibis,0.3154,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5493.0,5496.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.2971,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
5496.0,5499.0,Pelargopsis capensis,Stork-billed Kingfisher,0.4717,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
